[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,Li0.5Al0.5Fe5O8
FILEOPENTIME,15320102.91,06/27/2023,4:37 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,LB510,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Li0.5Al0.5Fe5O8 +PVA,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,11.59,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3 mm diameter,SAMPLE_SIZE
INFO,pellet,SAMPLE_SHAPE
INFO,34.24,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,15320985.21,316.593139648438,1000.063,0.23903372042968,3.63413491220097E-6,1,15.0002345885404,40.1327056884766,2.00557888460539,8.940001539886,1.32571309592682,0.125434073612387,25,-0.000208064183670456,0.239023821012987,0.000723392530240706,295.0188599,295.0227966,1000.063,1000.063,57.820188081583,20.6730687280224,9.2E-6,0,0,0,5906,294.57755,1000.063,,,,,,,,,,,,,,,,,212.294205,,,,,,295.02082825,,,,
,15321000.14,317.894805908203,1000.063,0.238858869025734,3.91890843484216E-6,1,15.0002345885404,40.1327056884766,2.00549625837279,8.940001539886,1.32468835745656,0.125353299243393,25,-0.000205030847062815,0.238848937447282,0.00072575520429931,295.0227966,295.0268555,1000.063,1000.063,57.4989387601791,20.6761508340762,9.15E-6,0,0,0,5906,294.57465,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.02482605,,,,
,15321015.135,319.064392089844,1000.063,0.238677280939599,5.25281716965326E-6,1,15.0002345885404,40.1327056884766,2.00554308433199,8.940001539886,1.32371249115377,0.125248296553364,25,-0.00020720357880284,0.238667333588218,0.00072294138428032,295.0268555,295.0304871,1000.063,1000.063,57.7576578000446,20.6827425140554,9.2E-6,0,0,0,5906,294.55695,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.0286713,,,,
,15321030.18,320.368194580078,1000.063,0.238501150367652,4.48101636700813E-6,1,15.0002345885404,40.1327056884766,2.00561470578128,8.940001539886,1.3227814381659,0.125162286857398,25,-0.000206752158111016,0.238491179605299,0.000722780485277345,295.0304871,295.0335083,1000.063,1000.063,57.9163283894484,20.6859924656416,9.2E-6,0,0,0,5906,294.5372,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.0319977,,,,
,15321045.22,321.541351318359,1000.063,0.238324834427802,4.66280250539887E-6,1,15.0002345885404,40.1327056884766,2.00569143178436,8.940001539886,1.32185461529555,0.125055426130638,25,-0.000210017888442571,0.238314860433467,0.000718821659378118,295.0335083,295.0377197,1000.063,1000.063,57.3770047111791,20.6874108002263,9.2E-6,0,0,0,5906,294.5388,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.035614,,,,
,15321060.215,322.859924316406,1000.063,0.238145463512117,4.66999729486814E-6,1,15.0002345885404,40.1327056884766,2.00560795139715,8.940001539886,1.32080597084736,0.124955852117843,25,-0.000209956907261574,0.238135476114777,0.000718215199365364,295.0377197,295.0389099,1000.063,1000.063,57.7662557137561,20.6884988385977,9.2E-6,0,0,0,5906,294.53035,1000.063,,,,,,,,,,,,,,,,,212.294205,,,,,,295.0383148,,,,
,15321075.12,323.992248535156,1000.063,0.237961212334319,4.38670784688867E-6,1,15.0002345885404,40.1327056884766,2.0057503639313,8.940001539886,1.31987631486413,0.124859269678653,25,-0.00021139945956699,0.237951220699428,0.000716117139760399,295.0389099,295.0413513,1000.063,1000.063,57.3918556530445,20.6918202145996,9.15E-6,0,0,0,5906,294.51365,1000.063,,,,,,,,,,,,,,,,,212.660156,,,,,,295.0401306,,,,
,15321090.08,325.300750732422,1000.063,0.237776959504844,3.44357151078844E-6,1,15.0002345885404,40.1327056884766,2.00575840473185,8.940001539886,1.31886211476666,0.124734497100759,25,-0.000216455239131097,0.237766974978383,0.00071041115882847,295.0413513,295.0432129,1000.063,1000.063,57.4364084786407,20.6922066722289,9.15E-6,0,0,0,5906,294.49555,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.0422821,,,,
,15321105.095,326.563293457031,1000.063,0.237592474164507,4.75782283729632E-6,1,15.0002345885404,40.1327056884766,2.00583979179319,8.940001539886,1.31789110242341,0.124641352476492,25,-0.000216545684715804,0.237582482670391,0.000709626063070298,295.0432129,295.0453186,1000.063,1000.063,57.3566823696791,20.6945645135533,9.2E-6,0,0,0,5906,294.489,1000.063,,,,,,,,,,,,,,,,,212.294205,,,,,,295.04426575,,,,
,15321120.12,327.876739501953,1000.063,0.23740344876121,4.24820885992275E-6,1,15.0002345885404,40.1327056884766,2.00584586563668,8.940001539886,1.31684640952358,0.124542788922027,25,-0.000216321408530753,0.237393452807005,0.000709104286811753,295.0453186,295.0470886,1000.063,1000.063,57.454385934583,20.6960933030412,9.2E-6,0,0,0,5906,294.49145,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.0462036,,,,
,15321135.12,329.029846191406,1000.063,0.237219920651399,4.44019696957276E-6,1,15.0002345885404,40.1327056884766,2.00588064852644,8.940001539886,1.31585100405836,0.124444231838535,25,-0.000217050531089558,0.237209917390373,0.000707767198037768,295.0470886,295.0477905,1000.063,1000.063,57.647448178833,20.6971430094888,9.2E-6,0,0,0,5906,294.4627,1000.063,,,,,,,,,,,,,,,,,212.660156,,,,,,295.04743955,,,,
,15321150.095,330.328552246094,1000.063,0.237030870228739,4.686676496568E-6,1,15.0002345885404,40.1327056884766,2.00593329893138,8.940001539886,1.31483724859084,0.124335459012468,25,-0.000219206904680084,0.237020879625782,0.000704898545462743,295.047699,295.0477905,1000.063,1000.063,57.3473028274484,20.6985221896166,9.2E-6,0,0,0,5906,294.4561,1000.063,,,,,,,,,,,,,,,,,212.660156,,,,,,295.04774475,,,,
,15321165.15,331.616882324219,1000.063,0.236842370238213,4.24699703245004E-6,1,15.0002345885404,40.1327056884766,2.00598578748423,8.940001539886,1.31382491999815,0.124242061848325,25,-0.000218597617941529,0.236832376834189,0.000704754597111848,295.047699,295.0509949,1000.063,1000.063,57.6396318936407,20.7009003865002,9.2E-6,0,0,0,5906,294.461,1000.063,,,,,,,,,,,,,,,,,212.294205,,,,,,295.04934695,,,,
,15321180.175,332.857269287109,1000.063,0.236652048394904,2.81853629484299E-6,1,15.0002345885404,40.1327056884766,2.00593790339869,8.940001539886,1.31273740923521,0.124149932250636,25,-0.000216583122258933,0.236642032215668,0.000706101915966292,295.0509949,295.0526123,1000.063,1000.063,57.3879475104484,20.7016156094329,9.15E-6,0,0,0,5906,294.4409,1000.063,,,,,,,,,,,,,,,,,212.294205,,,,,,295.0518036,,,,
,15321195.23,334.046234130859,1000.063,0.236462006348312,4.14316617302015E-6,1,15.0002345885404,40.1327056884766,2.00599870426556,8.940001539886,1.31172447725485,0.124027897897769,25,-0.000221141509428164,0.236452006200095,0.000700847110695625,295.0526123,295.0528564,1000.063,1000.063,57.3152560581599,20.7026664586394,9.1E-6,0,0,0,5906,294.429,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.05273435,,,,
,15321210.21,335.328125,1000.063,0.236267968682918,4.36136356542229E-6,1,15.0002345885404,40.1327056884766,2.00601667617942,8.940001539886,1.31065720492508,0.123951461424644,25,-0.000216598927809236,0.236257952627194,0.000704645188936741,295.0528564,295.0543823,1000.063,1000.063,57.5724118409869,20.7035334962859,9.2E-6,0,0,0,5906,294.4257,1000.063,,,,,,,,,,,,,,,,,212.660156,,,,,,295.05361935,,,,
,15321225.125,336.621612548828,1000.063,0.236074976201342,4.53200507734785E-6,1,15.0002345885404,40.1327056884766,2.00604144934126,8.940001539886,1.30960346643766,0.123839565385131,25,-0.000218657974674816,0.236064959212067,0.00070188243663587,295.0543823,295.0567932,1000.063,1000.063,57.7748536274677,20.705386313258,9.25E-6,0,0,0,5906,294.4126,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.05558775,,,,
,15321240.175,337.818115234375,1000.063,0.235877577477218,5.32059545340936E-6,1,15.0002345885404,40.1327056884766,2.00604786817817,8.940001539886,1.30851298298901,0.123730726971212,25,-0.000219566923755872,0.235867561474497,0.000700273689459316,295.0558777,295.0567932,1000.063,1000.063,57.7162314885253,20.7058520838009,9.25E-6,0,0,0,5906,294.3938,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,295.05633545,,,,
,15321255.15,339.037506103516,1000.063,0.235689908125271,3.71979257851707E-6,1,15.0002345885404,40.1327056884766,2.00607517163184,8.940001539886,1.30748915429062,0.123635318854742,25,-0.00021917494985777,0.23567990026121,0.000699967257701859,295.055542,295.0558777,1000.063,1000.063,57.5411467002176,20.7059122104749,9.25E-6,0,0,0,5906,294.3848,1000.063,,,,,,,,,,,,,,,,,212.660156,,,,,,295.05570985,,,,
,15321270.21,340.396514892578,1000.063,0.235491415221219,3.35472949329378E-6,1,15.0002345885404,40.1327056884766,2.0060827489136,8.940001539886,1.30639425093005,0.123516052250521,25,-0.000221886740386968,0.235481413665443,0.000696566893065255,295.055542,295.0574646,1000.063,1000.063,57.7248294022369,20.7070625008232,9.2E-6,0,0,0,5906,294.3618,1000.063,,,,,,,,,,,,,,,,,213.026108,,,,,,295.0565033,,,,
,15321285.22,341.596313476562,1000.063,0.23528771085148,4.95503647262618E-6,1,15.0002345885404,40.1327056884766,2.00604542835124,8.940001539886,1.30523859165837,0.123426171786004,25,-0.000218261954912136,0.235277694527938,0.000699427440424827,295.0574646,295.0576782,1000.063,1000.063,57.616964666583,20.7084409441929,9.15E-6,0,0,0,5906,294.3536,1000.063,,,,,,,,,,,,,,,,,212.660156,,,,,,295.0575714,,,,
