Index	mdoublebar	Temp
10.0	0.0011787060525979953	169.99833241666664
16.3790773532153	0.0011957030178851432	173.4093981284091
26.8266542404473	0.0011859161553995224	187.12851021035354
43.9398881640261	0.0011439122435535892	193.97068137222226
71.9687791239515	0.0011279182722562493	200.81388027045455
117.879776328052	0.0010766544589219315	207.65312633762628
193.069897483691	0.0010024087566408292	214.4949169347222
316.22972972973	0.0009326834065118269	221.34384012954547
517.949673811743	0.0009293030010356244	228.19241716452024
848.340633737186	0.0009792003442079655	235.03509727689394
1389.5	0.001016348741933421	245.3167292342172
2275.80009319664	0.0010262828755422397	255.60333023674238
3727.60018639329	0.0010123845489552513	265.8921336114899
6105.40027958994	0.0010000715273265199	272.749360025
10000.0	0.000995042276202796	283.0438624806818
